country_code,quarter,gdp_index
ITA,2023-Q4,99.980529167
USMCA,2023-Q4,111.081755257
CRI,2023-Q4,110.275982043
FRA,2023-Q4,102.647292808
USA,2023-Q4,111.783438679
USA,2024-Q1,112.264753236
FRA,2024-Q1,102.865323911
CRI,2024-Q1,111.507363443
USMCA,2024-Q1,111.576045
ITA,2024-Q1,101.13035071
FIN,2024-Q1,100.960145538
DNK,2024-Q1,97.999940237
LUX,2024-Q1,115.105395425
SWE,2024-Q1,103.553184698
CZE,2024-Q1,96.239556953
CHE,2024-Q1,105.688573464
SVN,2024-Q1,112.040474646
AUT,2024-Q1,102.895348205
GBR,2024-Q1,99.966627419
IRL,2024-Q1,113.566544897
CHL,2024-Q1,113.077748727
NOR,2024-Q1,103.689402423
LVA,2024-Q1,107.493437634
CAN,2024-Q1,106.891446158
NZL,2024-Q1,110.079582072
COL,2024-Q1,119.453848419
POL,2024-Q1,108.445870716
LTU,2024-Q1,108.555489748
OECD,2024-Q1,108.706651847
OECD,2024-Q2,109.181560281
LTU,2024-Q2,109.1037949
POL,2024-Q2,108.946320202
COL,2024-Q2,120.506946697
NZL,2024-Q2,109.913582658
CAN,2024-Q2,107.332258381
LVA,2024-Q2,107.312804774
NOR,2024-Q2,106.227896634
CHL,2024-Q2,113.007313905
IRL,2024-Q2,114.56382762
GBR,2024-Q2,99.788953676
AUT,2024-Q2,102.474723732
SVN,2024-Q2,111.756325334
CHE,2024-Q2,106.529734715
CZE,2024-Q2,96.198473984
SWE,2024-Q2,102.969646571
LUX,2024-Q2,115.749866371
DNK,2024-Q2,98.913243034
FIN,2024-Q2,99.52834956
ITA,2024-Q2,101.206819333
USMCA,2024-Q2,112.505770295
CRI,2024-Q2,111.846523047
FRA,2024-Q2,102.920876877
USA,2024-Q2,113.340364229
USA,2024-Q3,114.445695
FRA,2024-Q3,103.778654367
CRI,2024-Q3,113.234794864
USMCA,2024-Q3,113.596656404
ITA,2024-Q3,101.302237582
FIN,2024-Q3,99.629417512
DNK,2024-Q3,99.101645814
LUX,2024-Q3,116.976337728
SWE,2024-Q3,103.411916086
CHE,2024-Q3,107.248387413
SVN,2024-Q3,112.788135171
CZE,2024-Q3,97.10784009
AUT,2024-Q3,102.810985298
IRL,2024-Q3,114.839843198
CHL,2024-Q3,113.1680138
NOR,2024-Q3,106.472751391
GBR,2024-Q3,100.427733085
LVA,2024-Q3,107.391628527
COL,2024-Q3,121.581374326
POL,2024-Q3,109.176168059
OECD,2024-Q3,110.02936391
LTU,2024-Q3,109.585690478
NZL,2024-Q3,109.618201348
CAN,2024-Q3,108.476592197
CAN,2024-Q4,109.76806778299999
NZL,2024-Q4,109.681671712
LTU,2024-Q4,110.940532279
OECD,2024-Q4,110.855846722
POL,2024-Q4,110.778334465
COL,2024-Q4,122.478933176
LVA,2024-Q4,107.223877827
GBR,2024-Q4,100.60775701
NOR,2024-Q4,106.21926539
CHL,2024-Q4,114.243381546
IRL,2024-Q4,116.676870996
AUT,2024-Q4,103.782325473
CZE,2024-Q4,98.078019801
